feature,feature_cn,mean_abs_shap
origin_error,付款方余额变化误差,0.17515429804818
newbalanceOrig,付款方交易后余额,0.16092654937393444
origin_balance_change,付款方余额变化,0.06622320833863451
type_PAYMENT,交易类型：支付,0.045048766854820885
step,交易发生时间步,0.033432281447294106
amount_log,交易金额对数,0.02927625023308877
type_TRANSFER,交易类型：转账,0.027629806375566203
amount,交易金额,0.026433330220281548
oldbalanceOrg,付款方交易前余额,0.02390954177363594
type_CASH_OUT,交易类型：现金转出,0.019794050938901776
oldbalanceDest,收款方交易前余额,0.01321450867393966
dest_error,收款方余额变化误差,0.011097516711267583
dest_balance_change,收款方余额变化,0.00996574170424389
newbalanceDest,收款方交易后余额,0.007605338912857657
type_CASH_IN,交易类型：现金转入,0.005699457244749041
is_large_amount,是否大额交易,0.005382160811306573
type_DEBIT,交易类型：借记交易,0.0005586948984007055
