step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,risk_score,predict_isFraud,risk_level,risk_action,risk_reason,staff_explanation,customer_warning,top_features
4,TRANSFER,86070.17,C1844941220,86070.17,0.0,C1191544932,0.0,0.0,1,0,0.9999354898580628,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方交易后余额为 0，存在账户余额被转空的风险特征；付款方余额变化为 86070.17，说明交易导致付款方资金明显变化；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响,该交易的模型风险分数为 0.9999，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方交易后余额为 0，存在账户余额被转空的风险特征；付款方余额变化为 86070.17，说明交易导致付款方资金明显变化；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 86070.17，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；newbalanceOrig(付款方交易后余额)；origin_balance_change(付款方余额变化)；type_TRANSFER(交易类型：转账)；type_PAYMENT(交易类型：支付)
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0,0.9999122364293156,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 2930418.44，说明交易导致付款方资金明显变化；交易类型为转账，转账类交易在欺诈样本中风险相对较高；收款方余额变化误差为 2930418.44，模型认为该余额关系对风险判断有影响；付款方交易后余额为 0，存在账户余额被转空的风险特征,该交易的模型风险分数为 0.9999，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 2930418.44，说明交易导致付款方资金明显变化；交易类型为转账，转账类交易在欺诈样本中风险相对较高；收款方余额变化误差为 2930418.44，模型认为该余额关系对风险判断有影响；付款方交易后余额为 0，存在账户余额被转空的风险特征。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 2930418.44，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；origin_balance_change(付款方余额变化)；type_TRANSFER(交易类型：转账)；dest_error(收款方余额变化误差)；newbalanceOrig(付款方交易后余额)
3,TRANSFER,22877.0,C1247938090,22877.0,0.0,C1002031672,0.0,0.0,1,0,0.999537569381432,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易后余额 的取值为 0.0，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易后余额 的取值为 0.0，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 22877.00，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；type_TRANSFER(交易类型：转账)；newbalanceOrig(付款方交易后余额)；type_PAYMENT(交易类型：支付)；newbalanceDest(收款方交易后余额)
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,0,0.9995250062513203,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 235238.66，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 235238.66，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 235238.66，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；origin_balance_change(付款方余额变化)；newbalanceOrig(付款方交易后余额)；type_TRANSFER(交易类型：转账)；type_PAYMENT(交易类型：支付)
3,TRANSFER,10539.37,C1134864869,10539.37,0.0,C118648358,0.0,0.0,1,0,0.9995217004785472,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 10539.37，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；type_TRANSFER(交易类型：转账)；newbalanceOrig(付款方交易后余额)；type_PAYMENT(交易类型：支付)；oldbalanceDest(收款方交易前余额)
5,TRANSFER,120074.73,C1409933277,120074.73,0.0,C162114152,0.0,0.0,1,0,0.999510132144882,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 120074.73，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 120074.73，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 120074.73，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；origin_balance_change(付款方余额变化)；newbalanceOrig(付款方交易后余额)；type_TRANSFER(交易类型：转账)；type_PAYMENT(交易类型：支付)
2,TRANSFER,14949.84,C140702728,14949.84,0.0,C634210724,0.0,0.0,1,0,0.9994645851178444,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 14949.84，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；type_TRANSFER(交易类型：转账)；newbalanceOrig(付款方交易后余额)；type_PAYMENT(交易类型：支付)；oldbalanceDest(收款方交易前余额)
4,TRANSFER,169941.73,C540962910,169941.73,0.0,C2127862399,0.0,0.0,1,0,0.999458754092676,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 169941.73，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响,该交易的模型风险分数为 0.9995，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；付款方余额变化为 169941.73，说明交易导致付款方资金明显变化；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型为转账，转账类交易在欺诈样本中风险相对较高；交易类型：支付 的取值为 False，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 169941.73，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；origin_balance_change(付款方余额变化)；newbalanceOrig(付款方交易后余额)；type_TRANSFER(交易类型：转账)；type_PAYMENT(交易类型：支付)
4,TRANSFER,13707.11,C17222024,13707.11,0.0,C410033330,0.0,0.0,1,0,0.9992832772863856,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响,该交易的模型风险分数为 0.9993，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；收款方交易前余额 的取值为 0.0，该特征对模型判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 13707.11，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；type_TRANSFER(交易类型：转账)；newbalanceOrig(付款方交易后余额)；type_PAYMENT(交易类型：支付)；oldbalanceDest(收款方交易前余额)
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0,0.998893880159693,1,高风险,建议拦截或进入人工复核,付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；交易发生在时间步 1，交易时间特征对风险判断有影响,该交易的模型风险分数为 0.9989，风险等级为高风险。模型主要依据以下因素作出判断：付款方余额变化误差为 0.00，模型认为该余额关系对风险判断有影响；交易类型为转账，转账类交易在欺诈样本中风险相对较高；付款方交易后余额为 0，存在账户余额被转空的风险特征；交易类型：支付 的取值为 False，该特征对模型判断有影响；交易发生在时间步 1，交易时间特征对风险判断有影响。建议处置方式：建议拦截或进入人工复核。,系统检测到您当前这笔 TRANSFER 交易金额为 2806.00，存在较高风险。请您务必确认收款方身份，不要轻信陌生人转账、投资理财、刷单返利、冒充客服等要求。如非本人真实意愿操作，建议立即暂停交易并联系官方客服。,origin_error(付款方余额变化误差)；type_TRANSFER(交易类型：转账)；newbalanceOrig(付款方交易后余额)；type_PAYMENT(交易类型：支付)；step(交易发生时间步)
